,rho,definition
K01897,0.524485461447196,long-chain acyl-CoA synthetase [EC:6.2.1.3]
K14161,0.5222213931636487,protein ImuB
K11414,0.5211402517052368,NAD+-dependent protein deacetylase sirtuin 4 [EC:2.3.1.286]
K00626,0.5211333788454005,acetyl-CoA C-acetyltransferase [EC:2.3.1.9]
K05343,0.5202778009761897,maltose alpha-D-glucosyltransferase / alpha-amylase [EC:5.4.99.16 3.2.1.1]
K11611,0.5196137335034456,meromycolic acid enoyl-[acyl-carrier-protein] reductase [EC:1.3.1.118]
K00529,0.5180493874381511,3-phenylpropionate/trans-cinnamate dioxygenase ferredoxin reductase component [EC:1.18.1.3]
K02483,0.5177641238857615,"two-component system, OmpR family, response regulator"
K00059,0.5171910593768254,3-oxoacyl-[acyl-carrier protein] reductase [EC:1.1.1.100]
K01596,0.5145615799132811,phosphoenolpyruvate carboxykinase (GTP) [EC:4.1.1.32]
K18917,0.5144821803487043,mycoredoxin [EC:1.20.4.3]
K18455,0.513838411796815,mycothiol S-conjugate amidase [EC:3.5.1.115]
K23980,0.5126001743660923,cysteinylglycine-S-conjugate dipeptidase [EC:3.4.13.23]
K01087,0.5114475281482245,trehalose 6-phosphate phosphatase [EC:3.1.3.12]
K06048,0.5111305742582153,glutamate---cysteine ligase / carboxylate-amine ligase [EC:6.3.2.2 6.3.-.-]
K18290,0.510575249354168,itaconyl-CoA hydratase [EC:4.2.1.56]
K15526,0.5100221064683709,L-cysteine:1D-myo-inositol 2-amino-2-deoxy-alpha-D-glucopyranoside ligase [EC:6.3.1.13]
K15520,0.5095960017202978,mycothiol synthase [EC:2.3.1.189]
K01915,0.5091183406453612,glutamine synthetase [EC:6.3.1.2]
K02484,0.5082772193240103,"two-component system, OmpR family, sensor kinase [EC:2.7.13.3]"
K00336,0.5080805249112925,NADH-quinone oxidoreductase subunit G [EC:7.1.1.2]
K00528,0.506428810816278,ferredoxin/flavodoxin---NADP+ reductase [EC:1.18.1.2 1.19.1.1]
K10007,0.5063421659894787,glutamate transport system permease protein
K01724,0.5057090652283442,4a-hydroxytetrahydrobiopterin dehydratase [EC:4.2.1.96]
K00163,0.5053353980395496,pyruvate dehydrogenase E1 component [EC:1.2.4.1]
K09927,0.5047844137839238,uncharacterized protein
K13571,0.5033693875651812,proteasome accessory factor A [EC:6.3.1.19]
K13570,0.5027178480020849,prokaryotic ubiquitin-like protein Pup
K09791,0.5014038014123307,uncharacterized protein
K13527,0.5000994618855078,proteasome-associated ATPase
K06020,0.5000926925885846,energy-dependent translational throttle protein EttA
K12234,0.4987648649889603,coenzyme F420-0:L-glutamate ligase / coenzyme F420-1:gamma-L-glutamate ligase [EC:6.3.2.31 6.3.2.34]
K09009,0.4982241270793687,uncharacterized protein
K02279,0.49800296852142684,pilus assembly protein CpaB
K20814,0.49771221343215544,Pup amidohydrolase [EC:3.5.1.119]
K05275,0.4976224481268068,pyridoxine 4-dehydrogenase [EC:1.1.1.65]
K02276,0.4975220192404532,cytochrome c oxidase subunit III [EC:7.1.1.9]
K08683,0.49715187539234545,3-hydroxyacyl-CoA dehydrogenase / 3-hydroxy-2-methylbutyryl-CoA dehydrogenase [EC:1.1.1.35 1.1.1.178]
K01069,0.49636855347501285,hydroxyacylglutathione hydrolase [EC:3.1.2.6]
