,rho,definition
K03684,0.5214090858387828,ribonuclease D [EC:3.1.13.5]
K01554,0.521005377613064,8-oxo-dGDP phosphatase [EC:3.6.1.58]
K02483,0.5208624184887639,"two-component system, OmpR family, response regulator"
K13573,0.5208482312355915,proteasome accessory factor C
K01971,0.5207174149284538,bifunctional non-homologous end joining protein LigD [EC:6.5.1.1]
K01915,0.5202673145305977,glutamine synthetase [EC:6.3.1.2]
K06048,0.5185979567645214,glutamate---cysteine ligase / carboxylate-amine ligase [EC:6.3.2.2 6.3.-.-]
K09927,0.5177684730134421,uncharacterized protein
K09456,0.5168521353134039,putative acyl-CoA dehydrogenase
K00989,0.516722408404623,ribonuclease PH [EC:2.7.7.56]
K18290,0.5130417846020924,itaconyl-CoA hydratase [EC:4.2.1.56]
K00856,0.5117947647647539,adenosine kinase [EC:2.7.1.20]
K00140,0.5117543583158666,malonate-semialdehyde dehydrogenase (acetylating) / methylmalonate-semialdehyde dehydrogenase [EC:1.2.1.18 1.2.1.27]
K18917,0.5116352791633555,mycoredoxin [EC:1.20.4.3]
K23980,0.511309185681433,cysteinylglycine-S-conjugate dipeptidase [EC:3.4.13.23]
K02275,0.5109213586844238,cytochrome c oxidase subunit II [EC:7.1.1.9]
K00240,0.510759614218543,"succinate dehydrogenase / fumarate reductase, iron-sulfur subunit [EC:1.3.5.1 1.3.5.4]"
K18455,0.5103132059193393,mycothiol S-conjugate amidase [EC:3.5.1.115]
K11611,0.507653088358366,meromycolic acid enoyl-[acyl-carrier-protein] reductase [EC:1.3.1.118]
